ImmutableMultiDict([('Input_lang', 'en'), ('dest_lang', 'hi'), ('Phrase', 'perhaps')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|शायद
ImmutableMultiDict([('Input_lang', 'hi'), ('dest_lang', 'ne'), ('Phrase', 'aap kase ho')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|तिमीलाई कस्तो छ
ImmutableMultiDict([('Input_lang', 'en'), ('dest_lang', 'hi'), ('Phrase', 'how are you')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|होर सुनाओ
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'i am a pro')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|मैं एक समर्थक हूँ
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'hello')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|नमस्ते
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'french'), ('Phrase', 'hello')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|Bonjour
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'german'), ('Phrase', 'hello')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|Hallo
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'how are you ')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|होर सुनाओ
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'chinese (simplified)'), ('Phrase', 'how are you ')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|你好吗
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'hello')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54|नमस्ते
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'how are you ')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.57|होर सुनाओ
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'chinese (simplified)'), ('Phrase', 'how are you ')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.57|你好吗
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'how to run this webapp')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.57|इस वेबपैप को कैसे चलाएं
ImmutableMultiDict([('Input_lang', 'english'), ('dest_lang', 'hindi'), ('Phrase', 'how are you')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.57|होर सुनाओ
